id;is_active;created_by;created_at;updated_by;updated_at
1;true;Shirt Extension Producer;2021-09-14;Plastic SQL;2021-09-14
2;false;empowering networks flexibility;2021-09-14;bypassing;2021-09-14
3;false;Facilitator Practical global;2021-09-14;Keyboard Berkshire bypassing;2021-09-14
4;false;override;2021-09-14;front-end;2021-09-14
5;false;invoice Investment virtual;2021-09-14;Refined Ergonomic port;2021-09-13
6;false;Handmade Usability architecture;2021-09-14;exploit;2021-09-14
7;true;HTTP Baby real-time;2021-09-14;Human Creative;2021-09-14
8;false;static;2021-09-14;hack throughput;2021-09-13
9;false;silver incremental;2021-09-14;Global cross-platform SSL;2021-09-14
10;true;lavender Rustic Reverse-engineered;2021-09-13;Afghanistan;2021-09-14
