id;jhi_key;is_active;created_by;created_at;updated_by;updated_at
1;Rubber;false;Brand plum;2021-09-14;Interactions;2021-09-14
2;e-markets Pizza;true;Multi-layered Soft Optional;2021-09-14;Pants;2021-09-14
3;monitor;false;aggregate;2021-09-13;monitor Bulgarian;2021-09-14
4;Extended Ball;false;International Road;2021-09-14;Borders Implementation Architect;2021-09-14
5;Data;true;architectures Bacon monitor;2021-09-13;Synergistic;2021-09-14
6;Jewelery generate Pound;false;Assurance;2021-09-14;salmon e-commerce;2021-09-14
7;Delaware seamless Baht;false;optical open-source Hat;2021-09-13;SQL Mission;2021-09-14
8;Internal;false;Handcrafted morph;2021-09-13;indigo;2021-09-14
9;ROI Refined;true;compress District supply-chains;2021-09-13;Towels;2021-09-14
10;Games Bike Sports;false;e-enable;2021-09-14;asymmetric Multi-channelled;2021-09-13
