id;value;is_active;created_by;created_at;updated_by;updated_at
1;Metal;true;Automotive generation system;2021-09-14;Communications Designer firewall;2021-09-13
2;Customer Applications;true;invoice Concrete Tennessee;2021-09-13;Fresh Kansas 24/7;2021-09-13
3;extensible;false;Kip Investor methodologies;2021-09-14;Supervisor;2021-09-14
4;parsing;false;Car partnerships;2021-09-14;Chicken;2021-09-14
5;bandwidth;false;convergence Nakfa Generic;2021-09-14;azure;2021-09-14
6;Louisiana;true;adapter;2021-09-14;Fish Dollar ROI;2021-09-13
7;CSS Home Balanced;false;hack benchmark;2021-09-14;Account Curve;2021-09-14
8;Refined extend functionalities;false;Devolved mint Berkshire;2021-09-14;Mexico;2021-09-14
9;Buckinghamshire;false;Liaison Soap California;2021-09-14;payment Lari;2021-09-14
10;payment mobile experiences;true;Home groupware matrix;2021-09-13;Mongolia;2021-09-14
