id;is_active;created_by;created_at;updated_by;updated_at
1;true;Group Delaware Auto;2021-09-13;Japan niches;2021-09-14
2;true;generate Metal Bedfordshire;2021-09-14;Total Gorgeous;2021-09-14
3;true;driver Cotton;2021-09-14;Web Rubber Toys;2021-09-14
4;false;Movies;2021-09-14;Monitored;2021-09-13
5;true;Louisiana Facilitator Loan;2021-09-13;New Metal;2021-09-14
6;true;pixel up Chips;2021-09-14;Fresh teal;2021-09-14
7;true;Chicken;2021-09-14;Frozen Springs;2021-09-13
8;false;Soft Wooden Research;2021-09-14;Account program Frozen;2021-09-13
9;false;leading-edge Belize;2021-09-14;copying Balanced;2021-09-14
10;false;Checking;2021-09-14;Bedfordshire Implementation infrastructure;2021-09-13
