id;value;is_active;created_by;created_at;updated_by;updated_at
1;Liaison parsing XML;true;haptic;2021-09-14;robust hard;2021-09-14
2;Books;false;deposit;2021-09-13;analyzing Landing;2021-09-14
3;capacity British monitor;true;Computers;2021-09-13;Cambridgeshire invoice;2021-09-14
4;Islands Small Account;false;Chicken Executive;2021-09-13;Forge generation implementation;2021-09-14
5;Gloves Metal;true;Bacon;2021-09-14;human-resource;2021-09-14
6;array Integration;false;Fresh Soap;2021-09-14;Re-engineered;2021-09-14
7;Tuna holistic;true;upward-trending;2021-09-14;Engineer Sports;2021-09-13
8;Customer orange;false;GB Sleek Towels;2021-09-14;parsing;2021-09-14
9;Assistant;true;quantifying;2021-09-14;parse compressing;2021-09-14
10;Maine navigate;true;interface Enterprise-wide Account;2021-09-14;Producer application Steel;2021-09-13
