id;assignment_date;created_by;created_at;updated_by;updated_at
1;Ergonomic;Iowa;2021-09-13;invoice;2021-09-13
2;Clothing;Virtual Africa Orchestrator;2021-09-14;Estate;2021-09-14
3;morph magenta;deliverables Pants e-business;2021-09-14;Salad primary regional;2021-09-14
4;South Hampshire;Intelligent hard Guam;2021-09-14;Buckinghamshire Direct;2021-09-13
5;deposit global AI;Dam Re-contextualized Chief;2021-09-14;program;2021-09-13
6;Concrete;Bedfordshire Avon;2021-09-14;Applications;2021-09-13
7;Hampshire bandwidth Michigan;Robust maximize Buckinghamshire;2021-09-14;SAS Account;2021-09-14
8;24/7 transmitting;Technician Soap FTP;2021-09-14;analyzer Nevada Analyst;2021-09-13
9;Plastic;Account monitor Rubber;2021-09-14;capacitor support deliverables;2021-09-14
10;Music Highway Berkshire;Data;2021-09-14;overriding;2021-09-14
