id;assignment_date;created_by;created_at;updated_by;updated_at
1;Sleek Advanced Course;Regional Virginia Soap;2021-09-13;strategy copy;2021-09-14
2;salmon;Salad transform;2021-09-14;Generic;2021-09-14
3;Multi-lateral;synthesize yellow programming;2021-09-14;Usability turquoise pixel;2021-09-14
4;calculating Avon;high-level Direct Assurance;2021-09-14;state;2021-09-14
5;Adaptive Automotive;throughput vortals Alabama;2021-09-13;viral users Chicken;2021-09-13
6;algorithm eyeballs;e-commerce;2021-09-14;Nauru IB Bolivia;2021-09-14
7;Principal;Borders repurpose invoice;2021-09-14;Licensed Buckinghamshire compelling;2021-09-13
8;New quantifying Sausages;Loan;2021-09-14;Keyboard intangible Customer;2021-09-14
9;back-end;deposit Supervisor Soft;2021-09-14;silver redefine;2021-09-14
10;Soap Accounts Illinois;turquoise;2021-09-14;client-driven;2021-09-13
