id;file_url;upload_status;created_by;created_at;updated_by;updated_at
1;Kina;InProgress;generate Proactive;2021-09-14;Avon;2021-09-14
2;ADP;Pending;invoice USB;2021-09-14;connect Avon synthesize;2021-09-14
3;Licensed invoice;Pending;disintermediate Pizza;2021-09-14;Somoni Papua transmitter;2021-09-14
4;auxiliary Honduras;InProgress;back-end;2021-09-14;solutions turquoise;2021-09-14
5;Tunisia Chief composite;Pending;sexy;2021-09-14;Estate salmon;2021-09-14
6;cyan web-readiness;Completed;Beauty;2021-09-14;Account Manager;2021-09-14
7;IB THX envisioneer;InProgress;Nepalese;2021-09-13;Small Ball mindshare;2021-09-14
8;users architectures PNG;Pending;world-class;2021-09-14;optimal;2021-09-14
9;Fort Sleek Michigan;InProgress;transmit Licensed invoice;2021-09-14;Steel;2021-09-14
10;Loan Computer;Pending;Metrics Algerian;2021-09-14;up;2021-09-14
