id;assignment_date;created_by;created_at;updated_by;updated_at
1;quantifying;Metal Practical;2021-09-13;Analyst program Clothing;2021-09-14
2;distributed;plug-and-play invoice Refined;2021-09-14;Bedfordshire;2021-09-14
3;Chips;customized;2021-09-14;deposit Books Investor;2021-09-14
4;indigo grey;Frozen Integrated;2021-09-14;Jewelery;2021-09-14
5;Product B2B;Intelligent USB;2021-09-14;facilitate;2021-09-14
6;Virgin withdrawal;virtual;2021-09-14;Parks Money;2021-09-13
7;black plug-and-play override;SMTP Home;2021-09-14;mobile Market;2021-09-13
8;Innovative services innovative;customized;2021-09-14;Industrial;2021-09-14
9;Grocery solution-oriented;US open-source;2021-09-14;Berkshire;2021-09-14
10;Rustic drive;Tools;2021-09-13;California;2021-09-14
