id;event_type;event_time;event_date;created_by;created_at;updated_by;updated_at
1;OUT;2021-09-14;Malta;exuding Identity Accounts;2021-09-13;Internal Soft;2021-09-14
2;IN;2021-09-14;Inlet;clear-thinking Intranet grey;2021-09-14;RAM Metal;2021-09-13
3;OUT;2021-09-14;logistical;Highway;2021-09-14;logistical;2021-09-14
4;IN;2021-09-14;Pike;e-enable;2021-09-14;optimize;2021-09-14
5;IN;2021-09-14;optical Borders;methodology exploit;2021-09-14;azure card;2021-09-14
6;IN;2021-09-13;Car programming Reduced;Gloves IB;2021-09-14;Glens;2021-09-14
7;IN;2021-09-14;revolutionary tan;Baby magenta neural;2021-09-14;Savings back-end;2021-09-14
8;OUT;2021-09-14;Factors Indiana Avon;implement;2021-09-14;Cotton mission-critical;2021-09-14
9;OUT;2021-09-13;Quality Kenyan;Awesome Grenadines e-services;2021-09-14;Industrial optical Account;2021-09-14
10;IN;2021-09-14;invoice Steel Manager;frame;2021-09-13;Front-line Fresh;2021-09-13
